county/sub_county,total,farming,crop_production,livestock_production,aquaculture,fishing,irrigation,maize,sorghum,rice,potatoes,beans,cassava,sweet_potatoes,wheat,green_grams,bananas,cabbages,tomatoes,onions,ground_nuts,millet,watermelons,kales,sugarcane,cotton,exotic_cattle_0dairy,exotic_cattle_0beef,indigenous_cattle,sheep,goats,camels,donkeys,pigs,indigenous_chicken,exotic_chicken_layers,exotic_chicken_broilers,beehives,rabbits,fish_ponds,fish_cages
KIPKOMO,18370,14921.0,13998,13129,68,70,2577,13733.0,4632.0,686.0,10477.0,539.0,818.0,0.0,297.0,3029.0,660.0,1054.0,2115.0,188.0,2829.0,106.0,3501.0,558.0,0.0,0.0,1075,518,9283,7446,8004,18.0,949,9.0,10246,449,280,2079,54,58.0,6.0
POKOT CENTRAL,21850,17573.0,14219,15106,61,72,3257,13864.0,2097.0,644.0,7281.0,909.0,613.0,0.0,838.0,4137.0,656.0,1168.0,1691.0,372.0,3822.0,226.0,2533.0,1659.0,0.0,0.0,549,288,9374,6402,10625,435.0,230,3.0,9123,268,99,1911,15,55.0,10.0
POKOT NORTH,25804,20563.0,17933,18947,164,87,341,17561.0,7692.0,285.0,8915.0,117.0,261.0,0.0,488.0,622.0,242.0,432.0,462.0,278.0,1607.0,486.0,1313.0,370.0,0.0,0.0,751,737,14950,9292,16945,2457.0,493,30.0,10563,455,289,5888,34,144.0,38.0
POKOT SOUTH,13817,12241.0,11709,11091,68,31,1085,8398.0,481.0,7886.0,4585.0,181.0,413.0,0.0,87.0,1998.0,4883.0,1146.0,4836.0,63.0,934.0,80.0,5930.0,743.0,0.0,0.0,6033,819,4173,6068,1385,6.0,631,3.0,7743,425,170,1202,39,65.0,6.0
WEST POKOT,36341,24530.0,22327,20261,259,137,835,21767.0,3852.0,1815.0,12554.0,380.0,837.0,0.0,483.0,4627.0,1705.0,1008.0,1041.0,239.0,2567.0,137.0,5385.0,676.0,0.0,0.0,2668,891,14094,10796,11308,365.0,1075,19.0,14364,779,581,4127,86,196.0,27.0
SAMBURU,65910,43149.0,13814,41097,172,278,465,12817.0,0.0,3168.0,10667.0,0.0,346.0,93.0,465.0,721.0,1593.0,2202.0,2458.0,0.0,51.0,0.0,4487.0,0.0,0.0,0.0,1046,1112,29629,34813,34279,9204.0,9857,48.0,13709,634,367,3642,62,145.0,31.0
SAMBURU CENTRAL,34202,22176.0,13217,20248,94,119,355,12561.0,0.0,3134.0,10408.0,0.0,321.0,89.0,425.0,656.0,1556.0,2092.0,2359.0,0.0,49.0,0.0,4291.0,0.0,0.0,0.0,681,663,15372,17003,14671,1843.0,1904,20.0,9358,446,212,2377,46,78.0,6.0
SAMBURU EAST,18424,11460.0,222,11430,23,77,14,59.0,0.0,17.0,53.0,0.0,7.0,2.0,3.0,8.0,13.0,18.0,15.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,242,301,7544,10104,10780,3784.0,5126,13.0,2914,125,64,468,5,20.0,3.0
SAMBURU NORTH,13284,9513.0,375,9419,55,82,96,197.0,0.0,17.0,206.0,0.0,18.0,2.0,37.0,57.0,24.0,92.0,84.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,123,148,6713,7706,8828,3577.0,2827,15.0,1437,63,91,797,11,47.0,22.0
TRANS NZOIA,223808,140249.0,129945,96811,713,770,5153,125391.0,9454.0,15289.0,88786.0,10655.0,22537.0,1663.0,1251.0,55116.0,8379.0,9486.0,7414.0,2205.0,12266.0,0.0,43464.0,7816.0,0.0,0.0,34268,3327,33315,33309,7090,0.0,3257,670.0,76678,5329,2025,1959,895,664.0,86.0
TRANS NZOIA WEST,47603,23540.0,21654,16142,108,123,983,20733.0,1886.0,4606.0,16029.0,1823.0,3479.0,268.0,211.0,9683.0,1823.0,2871.0,1338.0,337.0,2178.0,0.0,7093.0,865.0,0.0,0.0,3464,425,7541,5255,1504,0.0,900,211.0,12919,698,294,299,135,101.0,13.0
TRANS NZOIA EAST,50017,36921.0,34999,26385,198,189,1106,34049.0,1992.0,3387.0,22193.0,1392.0,4123.0,360.0,240.0,12863.0,2349.0,1380.0,2243.0,194.0,3921.0,0.0,12007.0,1684.0,0.0,0.0,14150,992,6653,10280,934,0.0,699,95.0,20374,1451,360,789,206,184.0,14.0
KWANZA,45752,28502.0,26223,18991,170,174,877,25420.0,1951.0,1826.0,17713.0,2149.0,4626.0,344.0,274.0,9958.0,1377.0,1374.0,1018.0,303.0,2610.0,0.0,7917.0,1047.0,0.0,0.0,6666,731,6514,6844,853,0.0,388,147.0,14788,1194,563,232,168,159.0,31.0
ENDEBESS,23705,16775.0,15624,11952,38,43,1189,14936.0,1591.0,2818.0,11555.0,831.0,1698.0,196.0,145.0,4196.0,1055.0,2130.0,979.0,99.0,1547.0,0.0,3922.0,310.0,0.0,0.0,2611,384,5446,5146,2004,0.0,1050,58.0,9076,440,198,220,76,30.0,4.0
KIMININI,56731,34511.0,31445,23341,199,241,998,30253.0,2034.0,2652.0,21296.0,4460.0,8611.0,495.0,381.0,18416.0,1775.0,1731.0,1836.0,1272.0,2010.0,0.0,12525.0,3910.0,0.0,0.0,7377,795,7161,5784,1795,0.0,220,159.0,19521,1546,610,419,310,190.0,24.0
UASIN GISHU,304943,141547.0,132009,104671,524,708,5141,126577.0,8982.0,23950.0,67257.0,2675.0,10382.0,8148.0,0.0,21501.0,12737.0,9092.0,16729.0,0.0,15684.0,0.0,46064.0,4704.0,0.0,0.0,44163,3056,42622,44277,6478,19.0,1693,847.0,73895,5430,1773,5442,1047,477.0,61.0
AINABKOI,34892,17845.0,16705,13513,69,88,640,15828.0,743.0,6235.0,8536.0,125.0,900.0,1254.0,0.0,1494.0,2495.0,1137.0,3143.0,0.0,1908.0,0.0,6450.0,266.0,0.0,0.0,6434,614,4985,7021,530,3.0,116,97.0,8877,790,364,862,169,58.0,8.0
KAPSERET,59746,16891.0,14835,11835,65,100,611,13839.0,741.0,1983.0,6530.0,324.0,1237.0,378.0,0.0,3103.0,1331.0,1218.0,2048.0,0.0,642.0,0.0,6079.0,690.0,0.0,0.0,6064,517,2764,3682,625,1.0,55,234.0,8132,889,296,458,130,62.0,3.0
